brand , shipping , price 
GIGABYTE GAMING OC GeForce RTX 4080 16GB GDDR6X PCI Express 4.0 x16 ATX Video Card GV-N4080GAMING OC-16GD,Free Shipping,$1.269.99 (9 Offers)–
GIGABYTE EAGLE OC GeForce RTX 4080 16GB GDDR6X PCI Express 4.0 x16 ATX Video Card GV-N4080EAGLE OC-16GD,Free Shipping,$1.279.99 (9 Offers)–
MSI Ventus GeForce RTX 4080 16GB GDDR6X PCI Express 4.0 Video Card RTX 4080 16GB VENTUS 3X OC,Free Shipping,$1.259.99 (7 Offers)–
GIGABYTE GeForce RTX 3050 GAMING OC 8G Graphics Card| 3x WINDFORCE Fans| 8GB GDDR6 128-bit GDDR6| GV-N3050GAMING OC-8GD Video Card,Free Shipping,$309.99 (7 Offers)–
GIGABYTE GAMING OC Radeon RX 6500 XT 4GB GDDR6 PCI Express 4.0 ATX Video Card GV-R65XTGAMING OC-4GD,Free Shipping,$179.99 (3 Offers)–
MSI Mech Radeon RX 6500 XT 4GB GDDR6 PCI Express 4.0 Video Card RX 6500 XT MECH 2X 4G OC,Free Shipping,$164.99 (13 Offers)–
MSI Gaming (MSI) GeForce RTX 4070 Ti 12GB GDDR6X PCI Express 4.0 Video Card RTX 4070 Ti GAMING X TRIO 12G,Free Shipping,$849.99 (13 Offers)–
ASRock Radeon RX 6600 8GB GDDR6 PCI Express 4.0 Video Card RX6600 CLD 8G,Free Shipping,$234.99 –
ASRock Radeon RX 6700 XT Challenger D Gaming Graphic Card| 12GB GDDR6 VRAM| AMD RDNA2 (RX6700XT CLD 12G),Free Shipping,$359.99 –
ASRock Radeon RX 6800 Phantom Gaming D Gaming Graphics Card with 16GB GDDR6| AMD RDNA 2 (RX6800 PGD 16GO),Free Shipping,$489.99 –
GIGABYTE GeForce RTX 4070 Ti AERO OC 12G Graphics Card| 3x WINDFORCE Fans| 12GB 192-bit GDDR6X| GV-N407TAERO OC-12GD Video Card,Free Shipping,$899.99 –
MSI Gaming (MSI) GeForce RTX 4070 Ti 12GB GDDR6X PCI Express 4.0 Video Card RTX 4070 Ti GAMING TRIO 12G,Free Shipping,$839.99 (3 Offers)–
MSI Ventus GeForce RTX 3060 12GB GDDR6 PCI Express 4.0 Video Card RTX 3060 Ventus 2X 12G OC,Free Shipping,$369.99 (13 Offers)–
MSI Ventus GeForce RTX 4070 Ti 12GB GDDR6X PCI Express 4.0 Video Card RTX 4070 Ti VENTUS 3X 12G OC,Free Shipping,$829.99 (11 Offers)–
MSI Mech Radeon RX 6700 XT 12GB GDDR6 PCI Express 4.0 Video Card RX 6700 XT MECH 2X 12G OC,Free Shipping,$369.99 (1 Offers)–
Acer Predator BiFrost Arc A770 16GB GDDR6 PCI Express 4.0 x16 ATX Video Card Predator BiFrost Intel Arc A770 OC,Free Shipping,$349.99 –
MSI Mech Radeon RX 6650 XT 8GB GDDR6 PCI Express 4.0 Video Card RX 6650 XT MECH 2X 8G OC,Free Shipping,$294.99 –
GIGABYTE GeForce RTX 4070 Ti EAGLE 12G Graphics Card| 3x WINDFORCE Fans| 12GB 192-bit GDDR6X| GV-N407TEAGLE-12GD Video Card,$9.99 Shipping,$799.99 (3 Offers)–
MSI Gaming (MSI) GeForce RTX 4090 24GB GDDR6X PCI Express 4.0 Video Card RTX 4090 GAMING X TRIO 24G,Special Shipping,$2.099.00 (5 Offers)–
GIGABYTE AERO OC GeForce RTX 4080 16GB GDDR6X PCI Express 4.0 ATX Video Card GV-N4080AERO OC-16GD,Free Shipping,$1.299.99 (7 Offers)–
ZOTAC GAMING GeForce RTX 3060 Ti Twin Edge OC LHR 8GB GDDR6 256-bit 14 Gbps PCIE 4.0 Gaming Graphics Card| IceStorm 2.0 Advanced Cooling| Active Fan Control| FREEZE Fan Stop ZT-A30610H-10MLHR,Free Shipping,$409.99 (9 Offers)–
Intel Arc A770 16GB GDDR6 PCI Express 4.0 x16 Video Card 21P01J00BA,Free Shipping,$349.99 –
MSI Gaming Radeon RX 6800 16GB GDDR6 PCI Express 4.0 Video Card RX 6800 Gaming Z Trio 16G,$9.99 Shipping,$499.99 –
ZOTAC GAMING GeForce RTX 3060 Twin Edge OC 12GB GDDR6 192-bit 15 Gbps PCIE 4.0 Gaming Graphics Card| IceStorm 2.0 Cooling| Active Fan Control| FREEZE Fan Stop ZT-A30600H-10M,$3.50 Shipping,$349.99 (5 Offers)–
ASUS ROG Strix NVIDIA GeForce RTX 4070 Ti OC Edition Gaming Graphics Card (PCIe 4.0| 12GB GDDR6X| HDMI 2.1a| DisplayPort 1.4a) ROG-STRIX-RTX4070TI-O12G-GAMING,Free Shipping,$1.049.99 (13 Offers)–
XFX Gaming Radeon RX 7900 XT 20GB GDDR6 PCI Express 4.0 x16 Video Card RX-79TMBABF9,Free Shipping,$879.99 –
SAPPHIRE Radeon RX 7900 XT 20GB GDDR6 PCI Express 4.0 Video Card 21323-01-20G,Free Shipping,$899.99 (3 Offers)–
GIGABYTE Vision OC GeForce RTX 3060 12GB GDDR6 PCI Express 4.0 ATX Video Card GV-N3060VISION OC-12GD (rev. 2.0) (LHR),Free Shipping,$409.99 (7 Offers)–
MSI Gaming (MSI) GeForce RTX 4080 16GB GDDR6X PCI Express 4.0 Video Card RTX 4080 16GB GAMING X TRIO,Free Shipping,$1.309.99 (8 Offers)–
Yeston RTX 3080 10GB GDDR6X 320bit LHR Graphics cards Nvidia pci express x16 4.0 HDMI 2.1*1 + DP1.4a*3 video cards Desktop computer PC video gaming graphics card,Free Shipping,$759.00 –
MSI Gaming Radeon RX 6950 XT 16GB GDDR6 PCI Express 4.0 Video Card RX 6950 XT GAMING X TRIO 16G,Free Shipping,$759.99 –
XFX Speedster MERC 319 AMD RX 6950 XT Black Gaming Graphics Card with 16GB GDDR6 RX-695XATBD9,Free Shipping,$729.99 (5 Offers)–
Peladn Gaming RTX 3080 10G Graphics Card RGB Lighting GDDR6X PCI Express 4.0 Video Card Triple-fans,Free Shipping,$699.00 (4 Offers)–
GIGABYTE GeForce RTX 4070 Ti EAGLE OC 12G Graphics Card| 3x WINDFORCE Fans| 12GB 192-bit GDDR6X| GV-N407TEAGLE OC-12GD Video Card,Free Shipping,$849.99 (3 Offers)–
ASRock Phantom Gaming D Radeon RX 6750 XT 12GB GDDR6 PCI Express 4.0 Video Card RX6750XT PGD 12GO,Free Shipping,$429.99 –
Peladn Gaming RTX3070 8G Graphics Card GDDR6 RGB Lighting PCI Express 4.0 Video Card Triple-fan Edition,Free Shipping,$479.00 (4 Offers)–
